,Unnamed: 0,rank,title,score,scored_by_users,type,episodes,status,aired,Year Aired,premiered,Premiered Season,broadcast,Broadcast Date,producers,licensors,studios,source,genres,Main Genre,theme,demographic,duration,duration (mins),rating,popularity,url
8073,8073,874,Ginga Tetsudou 999,7.8,4731,TV,113,Finished Airing,"Sep 14, 1978 to Apr 9, 1981",1978,Fall 1978,Fall,Thursdays at 19:00 (JST),Thursdays,Fuji TV,Discotek Media,Toei Animation,Manga,"Adventure, Drama, Sci-Fi",Adventure,Space,All,25 min. per ep.,25 ,G - All Ages,3377,https://myanimelist.net/anime/1491/Ginga_Tetsudou_999
8074,8074,875,Gochuumon wa Usagi Desu ka??,7.8,51551,TV,12,Finished Airing,"Oct 10, 2015 to Dec 26, 2015",2015,Fall 2015,Fall,Saturdays at 21:30 (JST),Saturdays,"Frontier Works, AT-X, Magic Capsule, Bushiroad, Showgate, Houbunsha, NBCUniversal Entertainment Japan, i0+, Hakuhodo DY Music & Pictures, RAY",Sentai Filmworks,"Kinema Citrus, White Fox",4-koma manga,"Comedy, Slice of Life",Comedy,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1495,https://myanimelist.net/anime/29787/Gochuumon_wa_Usagi_Desu_ka
8075,8075,876,Grisaia no Rakuen,7.8,198209,TV,10,Finished Airing,"Apr 19, 2015 to Jun 21, 2015",2015,Spring 2015,Spring,Sundays at 23:00 (JST),Sundays,"Frontier Works, AT-X, Bushiroad, NBCUniversal Entertainment Japan, i0+, Front Wing",Sentai Filmworks,8bit,Visual novel,"Drama, Romance",Drama,Unknown,All,23 min. per ep.,23 ,R - 17+ (violence & profanity),486,https://myanimelist.net/anime/29095/Grisaia_no_Rakuen
8076,8076,877,High Score Girl,7.8,0,TV,12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018",2018,Summer 2018,Summer,Saturdays at 00:30 (JST),Saturdays,"Square Enix, Warner Bros. Japan, KlockWorx, Good Smile Company",Netflix,J.C.Staff,Manga,"Comedy, Romance",Comedy,Unknown,Seinen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,867,https://myanimelist.net/anime/21877/High_Score_Girl
8086,8086,887,Hataraku Maou-sama!,7.79,810760,TV,13,Finished Airing,"Apr 4, 2013 to Jun 27, 2013",2013,Spring 2013,Spring,Thursdays at 22:00 (JST),Thursdays,"Sotsu, Lantis, Pony Canyon, Magic Capsule, Infinite",Funimation,White Fox,Light novel,"Comedy, Fantasy, Romance, Supernatural",Comedy,Demons,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,68,https://myanimelist.net/anime/15809/Hataraku_Maou-sama
8087,8087,888,Lupin III: Part II,7.79,8845,TV,155,Finished Airing,"Oct 3, 1977 to Oct 6, 1980",1977,Fall 1977,Fall,Mondays at 19:00 (JST),Mondays,"VAP, Animax, Studio Jack","Discotek Media, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery",Action,Unknown,Seinen,25 min. per ep.,25 ,PG-13 - Teens 13 or older,3395,https://myanimelist.net/anime/1425/Lupin_III__Part_II
8088,8088,889,BanG Dream! Garupa☆Pico,7.78,9560,ONA,26,Finished Airing,"Jul 5, 2018 to Dec 27, 2018",2018,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some","SANZIGEN, DMM.futureworks",Original,,Unknown,Music,All,3 min. per ep.,3 ,PG-13 - Teens 13 or older,4240,https://myanimelist.net/anime/37873/BanG_Dream_Garupa☆Pico
8091,8091,892,Devilman: Crybaby,7.78,553481,ONA,10,Finished Airing,"Jan 5, 2018",2018,Unknown,Unknown,Unknown,Unknown,"Aniplex, Dynamic Planning, Netflix","None found, add some",Science SARU,Manga,"Action, Avant Garde, Horror, Supernatural",Action,Demons,All,25 min. per ep.,25 ,R+ - Mild Nudity,126,https://myanimelist.net/anime/35120/Devilman__Crybaby
8092,8092,893,Ghost Hunt,7.78,90833,TV,25,Finished Airing,"Oct 4, 2006 to Mar 28, 2007",2006,Fall 2006,Fall,Unknown,Unknown,"TV Tokyo, Avex Entertainment, Marvelous, Delfi Sound",Funimation,J.C.Staff,Light novel,"Horror, Mystery, Supernatural",Horror,Unknown,Shoujo,25 min. per ep.,25 ,PG-13 - Teens 13 or older,886,https://myanimelist.net/anime/1571/Ghost_Hunt
8095,8095,896,Higashi no Eden,7.78,234775,TV,11,Finished Airing,"Apr 10, 2009 to Jun 19, 2009",2009,Spring 2009,Spring,Fridays at 00:45 (JST),Fridays,"Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment",Funimation,Production I.G,Original,"Action, Drama, Mystery, Romance, Sci-Fi, Suspense",Action,Unknown,All,23 min. per ep.,23 ,R - 17+ (violence & profanity),332,https://myanimelist.net/anime/5630/Higashi_no_Eden
8096,8096,897,Hoozuki no Reitetsu,7.78,38813,TV,13,Finished Airing,"Jan 10, 2014 to Apr 4, 2014",2014,Winter 2014,Winter,Fridays at 01:35 (JST),Fridays,"Starchild Records, Mainichi Broadcasting System, Kodansha",Sentai Filmworks,Wit Studio,Manga,"Comedy, Fantasy, Supernatural",Comedy,Demons,Seinen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1464,https://myanimelist.net/anime/20431/Hoozuki_no_Reitetsu
8099,8099,900,Kokoro Connect,7.78,375393,TV,13,Finished Airing,"Jul 8, 2012 to Sep 30, 2012",2012,Summer 2012,Summer,Sundays at 00:30 (JST),Sundays,"Starchild Records, Enterbrain",Sentai Filmworks,SILVER LINK.,Light novel,"Comedy, Drama, Romance, Slice of Life, Supernatural",Comedy,School,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,176,https://myanimelist.net/anime/11887/Kokoro_Connect
8100,8100,901,Love Live! School Idol Project 2nd Season,7.78,134187,TV,13,Finished Airing,"Apr 6, 2014 to Jun 29, 2014",2014,Spring 2014,Spring,Sundays at 22:30 (JST),Sundays,"Bandai Visual, Lantis, Bushiroad","NIS America, Inc.",Sunrise,Other,,Unknown,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,805,https://myanimelist.net/anime/19111/Love_Live_School_Idol_Project_2nd_Season
8103,8103,904,Maria-sama ga Miteru 4th,7.78,8474,TV,13,Finished Airing,"Jan 3, 2009 to Mar 28, 2009",2009,Winter 2009,Winter,Unknown,Unknown,"None found, add some",Nozomi Entertainment,Studio Deen,Light novel,"Girls Love, Slice of Life",Girls Love,School,Shoujo,25 min. per ep.,25 ,PG-13 - Teens 13 or older,4088,https://myanimelist.net/anime/3750/Maria-sama_ga_Miteru_4th
8106,8106,907,Saenai Heroine no Sodatekata ♭,7.78,155549,TV,11,Finished Airing,"Apr 14, 2017 to Jun 23, 2017",2017,Spring 2017,Spring,Fridays at 00:55 (JST),Fridays,"Aniplex, Dentsu, Fuji TV, Cospa, Good Smile Company, Kansai Telecasting, Fujimi Shobo","None found, add some",A-1 Pictures,Light novel,"Comedy, Romance, Ecchi",Comedy,Unknown,All,22 min. per ep.,22 ,PG-13 - Teens 13 or older,578,https://myanimelist.net/anime/30727/Saenai_Heroine_no_Sodatekata_♭
8110,8110,911,Taishou Otome Otogibanashi,7.78,33382,TV,12,Finished Airing,"Oct 9, 2021 to Dec 25, 2021",2021,Fall 2021,Fall,Saturdays at 01:53 (JST),Saturdays,"Pony Canyon, Bit grooove promotion",Funimation,SynergySP,Manga,"Comedy, Romance, Slice of Life",Comedy,Historical,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1803,https://myanimelist.net/anime/45055/Taishou_Otome_Otogibanashi
8118,8118,919,Shaman King,7.77,171672,TV,64,Finished Airing,"Jul 4, 2001 to Sep 25, 2002",2001,Summer 2001,Summer,Wednesdays at 18:30 (JST),Wednesdays,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music","4Kids Entertainment, Discotek Media",Xebec,Manga,"Action, Adventure, Comedy, Supernatural",Action,Super Power,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,539,https://myanimelist.net/anime/154/Shaman_King
8119,8119,920,Tentai Senshi Sunred,7.77,5797,TV,26,Finished Airing,"Oct 3, 2008 to Mar 28, 2009",2008,Fall 2008,Fall,Unknown,Unknown,flying DOG,"None found, add some",AIC ASTA,Manga,,Unknown,Unknown,Seinen,13 min. per ep.,13 ,PG-13 - Teens 13 or older,4034,https://myanimelist.net/anime/5005/Tentai_Senshi_Sunred
8121,8121,922,Akagami no Shirayuki-hime,7.77,276887,TV,12,Finished Airing,"Jul 7, 2015 to Sep 22, 2015",2015,Summer 2015,Summer,Tuesdays at 00:00 (JST),Tuesdays,"Hakusensha, Warner Bros. Japan, KlockWorx, Showgate",Funimation,Bones,Manga,"Drama, Fantasy, Romance",Drama,Unknown,Shoujo,24 min. per ep.,24 ,PG-13 - Teens 13 or older,287,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime
8123,8123,924,Digimon Adventure,7.77,229962,TV,54,Finished Airing,"Mar 7, 1999 to Mar 26, 2000",1999,Spring 1999,Spring,Sundays at 09:00 (JST),Sundays,"Yomiko Advertising, Fuji TV","Saban Entertainment, Flatiron Film Company",Toei Animation,Other,"Action, Adventure, Comedy, Fantasy",Action,Unknown,Kids,24 min. per ep.,24 ,PG - Children,487,https://myanimelist.net/anime/552/Digimon_Adventure
8125,8125,926,Enen no Shouboutai: Ni no Shou,7.77,257523,TV,24,Finished Airing,"Jul 4, 2020 to Dec 12, 2020",2020,Summer 2020,Summer,Saturdays at 01:55 (JST),Saturdays,"Mainichi Broadcasting System, DMM pictures",Funimation,David Production,Manga,"Action, Supernatural",Action,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,313,https://myanimelist.net/anime/40956/Enen_no_Shouboutai__Ni_no_Shou
8128,8128,929,Hug tto! Precure,7.77,3505,TV,49,Finished Airing,"Feb 4, 2018 to Jan 27, 2019",2018,Winter 2018,Winter,Sundays at 08:30 (JST),Sundays,"Asahi Broadcasting, ABC Animation, Echoes","None found, add some",Toei Animation,Original,"Action, Fantasy",Action,Unknown,Shoujo,24 min. per ep.,24 ,G - All Ages,4833,https://myanimelist.net/anime/36593/Hug_tto_Precure
8130,8130,931,Kyou kara Maou! 3rd Series,7.77,11944,TV,39,Finished Airing,"Apr 3, 2008 to Feb 19, 2009",2008,Spring 2008,Spring,Unknown,Unknown,"None found, add some",Discotek Media,Studio Deen,Light novel,"Adventure, Comedy, Fantasy",Adventure,Demons,Shoujo,24 min. per ep.,24 ,PG-13 - Teens 13 or older,3327,https://myanimelist.net/anime/4080/Kyou_kara_Maou_3rd_Series
