,Unnamed: 0,rank,title,score,scored_by_users,type,episodes,status,aired,Year Aired,premiered,Premiered Season,broadcast,Broadcast Date,producers,licensors,studios,source,genres,Main Genre,theme,demographic,duration,duration (mins),rating,popularity,url
1864,1864,2615,Heavy Object,7.26,51671,TV,24,Finished Airing,"Oct 3, 2015 to Mar 26, 2016",2015,Fall 2015,Fall,Saturdays at 00:30 (JST),Saturdays,"Movic, Magic Capsule, Warner Bros. Japan, KlockWorx, ASCII Media Works, Showgate, GREE",Funimation,"J.C.Staff, SANZIGEN",Light novel,"Action, Sci-Fi",Action,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1295,https://myanimelist.net/anime/27829/Heavy_Object
1865,1865,2616,High School DxD Hero,7.26,220400,TV,12,Finished Airing,"Apr 17, 2018 to Jul 3, 2018",2018,Spring 2018,Spring,Tuesdays at 23:00 (JST),Tuesdays,AT-X,Funimation,Passione,Light novel,"Action, Comedy, Romance, Ecchi",Action,Unknown,All,23 min. per ep.,23 ,R+ - Mild Nudity,420,https://myanimelist.net/anime/34281/High_School_DxD_Hero
1868,1868,2619,Kaidan Restaurant,7.26,4232,TV,23,Finished Airing,"Oct 13, 2009 to Jun 8, 2010",2009,Fall 2009,Fall,Tuesdays at 19:30 (JST),Tuesdays,TV Asahi,"None found, add some",Toei Animation,Picture book,"Horror, Mystery, Supernatural",Horror,Unknown,Kids,19 min. per ep.,19 ,PG - Children,4638,https://myanimelist.net/anime/6980/Kaidan_Restaurant
1869,1869,2620,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,7.26,2160,TV,50,Finished Airing,"Jan 4, 1981 to Dec 27, 1981",1981,Winter 1981,Winter,Sundays at 19:30 (JST),Sundays,"None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Drama, Slice of Life",Adventure,Historical,All,24 min. per ep.,24 ,G - All Ages,6949,https://myanimelist.net/anime/2544/Kazoku_Robinson_Hyouryuuki__Fushigi_na_Shima_no_Flone
1870,1870,2621,Kidou Tenshi Angelic Layer,7.26,25887,TV,26,Finished Airing,"Apr 1, 2001 to Sep 23, 2001",2001,Spring 2001,Spring,Sundays at 17:20 (JST),Sundays,TV Tokyo Music,"ADV Films, Sentai Filmworks",Bones,Manga,"Comedy, Drama, Sci-Fi, Sports",Comedy,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,2480,https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer
1871,1871,2622,Koutetsujou no Kabaneri,7.26,370203,TV,12,Finished Airing,"Apr 8, 2016 to Jul 1, 2016",2016,Spring 2016,Spring,Fridays at 00:55 (JST),Fridays,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Kansai Telecasting","Funimation, Crunchyroll",Wit Studio,Original,"Action, Drama, Fantasy, Horror, Supernatural",Action,Unknown,All,22 min. per ep.,22 ,R - 17+ (violence & profanity),208,https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri
1872,1872,2623,Layton Mystery Tanteisha: Katri no Nazotoki File,7.26,2301,TV,50,Finished Airing,"Apr 8, 2018 to Mar 31, 2019",2018,Spring 2018,Spring,Sundays at 08:30 (JST),Sundays,Level-5,"None found, add some",LIDENFILMS,Game,"Comedy, Mystery",Comedy,Unknown,Kids,23 min. per ep.,23 ,PG - Children,4607,https://myanimelist.net/anime/37023/Layton_Mystery_Tanteisha__Katri_no_Nazotoki_File
1873,1873,2624,Ling Long: Incarnation,7.26,813,ONA,6,Finished Airing,"Jul 13, 2019 to Sep 21, 2019",2019,Unknown,Unknown,Unknown,Unknown,bilibili,"None found, add some",YHKT Entertainment,Original,"Action, Drama, Horror, Sci-Fi, Suspense",Action,Demons,All,30 min. per ep.,30 ,R - 17+ (violence & profanity),8034,https://myanimelist.net/anime/39675/Ling_Long__Incarnation
1874,1874,2625,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,7.26,6125,TV,12,Finished Airing,"Jul 3, 2008 to Sep 25, 2008",2008,Summer 2008,Summer,Unknown,Unknown,"Geneon Universal Entertainment, TV Asahi",Sentai Filmworks,Hal Film Maker,Manga,"Drama, Romance, Slice of Life",Drama,Unknown,Shounen,23 min. per ep.,23 ,G - All Ages,3757,https://myanimelist.net/anime/4483/Mahoutsukai_ni_Taisetsu_na_Koto__Natsu_no_Sora
1875,1875,2626,Maoyuu Maou Yuusha,7.26,190976,TV,12,Finished Airing,"Jan 5, 2013 to Mar 30, 2013",2013,Winter 2013,Winter,Saturdays at Unknown,Saturdays,"Genco, Animax",Sentai Filmworks,Arms,Light novel,"Adventure, Fantasy, Romance",Adventure,Demons,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,414,https://myanimelist.net/anime/14833/Maoyuu_Maou_Yuusha
1877,1877,2628,Mayo Chiki!,7.26,241032,TV,13,Finished Airing,"Jul 8, 2011 to Sep 30, 2011",2011,Summer 2011,Summer,Unknown,Unknown,"Starchild Records, Media Factory, TBS, DAX Production, PRA, RAY",Sentai Filmworks,feel.,Light novel,"Comedy, Romance, Ecchi",Comedy,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,387,https://myanimelist.net/anime/10110/Mayo_Chiki
1878,1878,2629,Mazinger Z,7.26,5217,TV,92,Finished Airing,"Dec 3, 1972 to Sep 1, 1974",1972,Winter 1973,Winter,Sundays at 19:00 (JST),Sundays,Dynamic Planning,Discotek Media,Toei Animation,Manga,"Action, Drama, Sci-Fi",Action,Mecha,Shounen,25 min. per ep.,25 ,PG-13 - Teens 13 or older,4608,https://myanimelist.net/anime/2253/Mazinger_Z
1879,1879,2630,MÄR,7.26,17230,TV,102,Finished Airing,"Apr 3, 2005 to Mar 25, 2007",2005,Spring 2005,Spring,Sundays at 10:00 (JST),Sundays,"TV Tokyo, Shogakukan-Shueisha Productions, A-Line",VIZ Media,SynergySP,Manga,"Action, Adventure, Comedy, Fantasy",Action,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,2663,https://myanimelist.net/anime/738/MÄR
1881,1881,2632,Mobile Suit Gundam Thunderbolt 2nd Season,7.26,9460,ONA,4,Finished Airing,"Mar 24, 2017 to Jul 14, 2017",2017,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some",Sunrise,Manga,"Action, Drama, Sci-Fi",Action,Unknown,All,21 min. per ep.,21 ,R - 17+ (violence & profanity),4205,https://myanimelist.net/anime/34391/Mobile_Suit_Gundam_Thunderbolt_2nd_Season
1883,1883,2634,Natsu no Arashi!,7.26,12205,TV,13,Finished Airing,"Apr 6, 2009 to Jun 29, 2009",2009,Spring 2009,Spring,Unknown,Unknown,"TV Tokyo Music, GANSIS",Maiden Japan,Shaft,Manga,"Comedy, Romance, Supernatural",Comedy,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,2605,https://myanimelist.net/anime/5597/Natsu_no_Arashi
1885,1885,2636,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,7.26,53655,TV,12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021",2021,Summer 2021,Summer,Saturdays at 01:25 (JST),Saturdays,Nichion,"None found, add some",SILVER LINK.,Light novel,"Comedy, Drama, Fantasy, Romance",Comedy,Unknown,Shoujo,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1140,https://myanimelist.net/anime/42282/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta_X
1886,1886,2637,Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,7.26,11888,TV,25,Finished Airing,"Oct 6, 2013 to Mar 23, 2014",2013,Fall 2013,Fall,Unknown,Unknown,NHK,Sentai Filmworks,Sunrise,Original,"Action, Mystery",Action,Game,Shounen,25 min. per ep.,25 ,PG-13 - Teens 13 or older,3194,https://myanimelist.net/anime/15651/Phi_Brain__Kami_no_Puzzle_-_Shukuteki_Rätsel-hen
1888,1888,2639,Seijo no Maryoku wa Bannou Desu,7.26,51850,TV,12,Finished Airing,"Apr 6, 2021 to Jun 22, 2021",2021,Spring 2021,Spring,Tuesdays at 23:30 (JST),Tuesdays,"Lantis, Kadokawa, Bit grooove promotion",Funimation,Diomedéa,Light novel,"Fantasy, Romance, Slice of Life",Fantasy,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1448,https://myanimelist.net/anime/42826/Seijo_no_Maryoku_wa_Bannou_Desu
1890,1890,2641,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,7.26,373172,TV,12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",2015,Summer 2015,Summer,Saturdays at 23:00 (JST),Saturdays,"Frontier Works, Shogakukan-Shueisha Productions, Genco, Starchild Records, AT-X, KlockWorx",Funimation,J.C.Staff,Light novel,"Comedy, Ecchi",Comedy,School,All,23 min. per ep.,23 ,R+ - Mild Nudity,220,https://myanimelist.net/anime/29786/Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai
1892,1892,2643,Slayers Revolution,7.26,16886,TV,13,Finished Airing,"Jul 3, 2008 to Sep 25, 2008",2008,Summer 2008,Summer,Unknown,Unknown,"None found, add some","Funimation, NYAV Post",J.C.Staff,Light novel,"Adventure, Comedy, Fantasy",Adventure,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,3157,https://myanimelist.net/anime/4028/Slayers_Revolution
1895,1895,2646,Subete ga F ni Naru,7.26,61518,TV,11,Finished Airing,"Oct 9, 2015 to Dec 18, 2015",2015,Fall 2015,Fall,Fridays at 00:55 (JST),Fridays,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Kansai Telecasting",Sentai Filmworks,A-1 Pictures,Novel,"Mystery, Sci-Fi",Mystery,Psychological,All,23 min. per ep.,23 ,R - 17+ (violence & profanity),1203,https://myanimelist.net/anime/28621/Subete_ga_F_ni_Naru
1896,1896,2647,Tales of Zestiria the Cross,7.26,127928,TV,12,Finished Airing,"Jul 10, 2016 to Sep 25, 2016",2016,Summer 2016,Summer,Sundays at 23:00 (JST),Sundays,"Bandai Visual, Lantis, Bandai Namco Entertainment, Anime Consortium Japan",Funimation,ufotable,Game,"Action, Adventure, Fantasy",Action,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,616,https://myanimelist.net/anime/30911/Tales_of_Zestiria_the_Cross
1899,1899,2650,Utawarerumono: Itsuwari no Kamen,7.26,39167,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016",2015,Fall 2015,Fall,Sundays at 01:00 (JST),Sundays,"KlockWorx, Toranoana, AQUAPLUS, ensky, King Records",Sentai Filmworks,White Fox,Visual novel,"Action, Drama, Fantasy",Action,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1708,https://myanimelist.net/anime/30901/Utawarerumono__Itsuwari_no_Kamen
1900,1900,2651,"Wei, Kanjian Erduo La!",7.26,7057,ONA,12,Finished Airing,"Aug 25, 2018 to Nov 3, 2018",2018,Unknown,Unknown,Unknown,Unknown,"bilibili, Alchemy Bros.","None found, add some",monofilmo,Web manga,"Boys Love, Comedy, Slice of Life",Boys Love,Unknown,All,3 min. per ep.,3 ,PG-13 - Teens 13 or older,4542,https://myanimelist.net/anime/38217/Wei_Kanjian_Erduo_La
1901,1901,2652,Witch Hunter Robin,7.26,38383,TV,26,Finished Airing,"Jul 2, 2002 to Dec 24, 2002",2002,Summer 2002,Summer,Tuesdays at Unknown,Tuesdays,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment","Funimation, Bandai Entertainment",Sunrise,Original,"Action, Drama, Mystery, Supernatural",Action,Police,All,25 min. per ep.,25 ,PG-13 - Teens 13 or older,1643,https://myanimelist.net/anime/7/Witch_Hunter_Robin
1902,1902,2653,Zero no Tsukaima,7.26,415971,TV,13,Finished Airing,"Jul 3, 2006 to Sep 25, 2006",2006,Summer 2006,Summer,Mondays at 00:30 (JST),Mondays,"Genco, Media Factory, Shochiku, Bushiroad, Happinet Pictures","Funimation, Sentai Filmworks, Geneon Entertainment USA",J.C.Staff,Light novel,"Action, Adventure, Comedy, Fantasy, Romance, Ecchi",Action,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,184,https://myanimelist.net/anime/1195/Zero_no_Tsukaima
1904,1904,2655,Meng Qi Shi Shen 2nd Season,7.25,657,ONA,12,Finished Airing,"Oct 9, 2021 to Dec 18, 2021",2021,Unknown,Unknown,Unknown,Unknown,bilibili,"None found, add some",Wawayu Animation,Novel,"Adventure, Comedy, Drama, Gourmet, Romance",Adventure,Historical,All,20 min. per ep.,20 ,PG-13 - Teens 13 or older,8303,https://myanimelist.net/anime/49847/Meng_Qi_Shi_Shen_2nd_Season
1905,1905,2656,Midori no Hibi,7.25,80753,TV,13,Finished Airing,"Apr 4, 2004 to Jun 27, 2004",2004,Spring 2004,Spring,Unknown,Unknown,"Bandai Visual, Lantis","Media Blasters, NYAV Post",Studio Pierrot,Manga,"Comedy, Drama, Romance, Ecchi",Comedy,Unknown,Shounen,24 min. per ep.,24 ,R+ - Mild Nudity,1226,https://myanimelist.net/anime/330/Midori_no_Hibi
1907,1907,2658,Ojamajo Doremi,7.25,19452,TV,51,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",1999,Winter 1999,Winter,Sundays at 08:30 (JST),Sundays,Asahi Broadcasting,4Kids Entertainment,Toei Animation,Original,,Unknown,Unknown,All,24 min. per ep.,24 ,G - All Ages,2685,https://myanimelist.net/anime/350/Ojamajo_Doremi
1912,1912,2663,Petshop of Horrors,7.25,28084,TV,4,Finished Airing,"Mar 2, 1999 to Mar 23, 1999",1999,Winter 1999,Winter,Unknown,Unknown,"Trans Arts, TBS","Sentai Filmworks, Urban Vision",Madhouse,Manga,"Horror, Mystery, Supernatural",Horror,Unknown,Josei,23 min. per ep.,23 ,R - 17+ (violence & profanity),2365,https://myanimelist.net/anime/326/Petshop_of_Horrors
1914,1914,2665,Star Wars: Visions,7.25,27374,ONA,9,Finished Airing,"Sep 22, 2021",2021,Unknown,Unknown,Unknown,Unknown,Twin Engine,"None found, add some","Production I.G, Kinema Citrus, Kamikaze Douga, Trigger, Studio Colorido, Geno Studio, Science SARU",Other,"Action, Adventure, Sci-Fi",Action,Unknown,All,15 min. per ep.,15 ,PG-13 - Teens 13 or older,2462,https://myanimelist.net/anime/49357/Star_Wars__Visions
1916,1916,2667,Taisou Zamurai,7.25,15521,TV,11,Finished Airing,"Oct 11, 2020 to Dec 20, 2020",2020,Fall 2020,Fall,Sundays at 01:30 (JST),Sundays,"None found, add some",Funimation,MAPPA,Original,,Unknown,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,2632,https://myanimelist.net/anime/42668/Taisou_Zamurai
1919,1919,2670,Tiger Mask,7.25,3291,TV,105,Finished Airing,"Oct 2, 1969 to Sep 30, 1971",1969,Fall 1969,Fall,Unknown,Unknown,"None found, add some","None found, add some",Toei Animation,Manga,"Action, Drama, Sports",Action,Unknown,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,5676,https://myanimelist.net/anime/3009/Tiger_Mask
1920,1920,2671,Tom Sawyer no Bouken,7.25,3054,TV,49,Finished Airing,"Jan 6, 1980 to Dec 28, 1980",1980,Winter 1980,Winter,Sundays at 19:30 (JST),Sundays,"None found, add some",Saban Entertainment,Nippon Animation,Book,"Adventure, Drama, Slice of Life",Adventure,Historical,All,25 min. per ep.,25 ,G - All Ages,6192,https://myanimelist.net/anime/2577/Tom_Sawyer_no_Bouken
1921,1921,2672,Wan Jie Fa Shen,7.25,573,ONA,54,Finished Airing,"Dec 21, 2020 to Jun 18, 2021",2020,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some",Ruo Hong Culture,Original,"Adventure, Fantasy, Romance",Adventure,Martial Arts,All,6 min. per ep.,6 ,PG-13 - Teens 13 or older,10508,https://myanimelist.net/anime/45196/Wan_Jie_Fa_Shen
1922,1922,2673,Wu Geng Ji Zhi San Jie,7.25,536,ONA,42,Finished Airing,"Dec 20, 2019 to Oct 9, 2020",2019,Unknown,Unknown,Unknown,Unknown,Tencent Penguin Pictures,"None found, add some",Sparkly Key Animation Studio,Manga,"Action, Fantasy, Supernatural",Action,Unknown,All,16 min. per ep.,16 ,PG-13 - Teens 13 or older,9617,https://myanimelist.net/anime/38467/Wu_Geng_Ji_Zhi_San_Jie
1924,1924,2675,Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,7.25,3515,TV,12,Finished Airing,"Oct 2, 2021 to Dec 18, 2021",2021,Fall 2021,Fall,Saturdays at 01:55 (JST),Saturdays,Mainichi Broadcasting System,Sentai Filmworks,Studio Gokumi,Original,"Drama, Fantasy, Slice of Life",Drama,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,4372,https://myanimelist.net/anime/42587/Yuuki_Yuuna_wa_Yuusha_de_Aru__Dai_Mankai_no_Shou
1925,1925,2676,Accel World,7.25,345990,TV,24,Finished Airing,"Apr 7, 2012 to Sep 22, 2012",2012,Spring 2012,Spring,Saturdays at 00:30 (JST),Saturdays,"Genco, Rakuonsha, Warner Bros. Japan, flying DOG, ASCII Media Works",VIZ Media,Sunrise,Light novel,"Action, Romance, Sci-Fi",Action,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,230,https://myanimelist.net/anime/11759/Accel_World
1929,1929,2680,Amanchu!,7.25,29601,TV,12,Finished Airing,"Jul 8, 2016 to Sep 23, 2016",2016,Summer 2016,Summer,Fridays at 23:00 (JST),Fridays,"Production I.G, Frontier Works, Shochiku, AT-X, flying DOG, Tokyo MX, Mag Garden","None found, add some",J.C.Staff,Manga,"Comedy, Slice of Life",Comedy,School,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1853,https://myanimelist.net/anime/31771/Amanchu
1930,1930,2681,Beelzebub-jou no Okinimesu mama.,7.25,29172,TV,12,Finished Airing,"Oct 11, 2018 to Dec 27, 2018",2018,Fall 2018,Fall,Thursdays at 02:50 (JST),Thursdays,"Aniplex, Square Enix, Movic, Studio Mausu, Tokyo MX, Q-Tec, ABC Animation, CA-Cygames Anime Fund","None found, add some",LIDENFILMS,4-koma manga,"Comedy, Fantasy, Romance",Comedy,Demons,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1933,https://myanimelist.net/anime/37716/Beelzebub-jou_no_Okinimesu_mama
1933,1933,2684,Darling in the FranXX,7.25,819939,TV,24,Finished Airing,"Jan 13, 2018 to Jul 7, 2018",2018,Winter 2018,Winter,Saturdays at 23:30 (JST),Saturdays,"Aniplex, Khara, Movic, Ultra Super Pictures, Lucent Pictures Entertainment, Tokyo MX, Nagoya Broadcasting Network, Asahi Broadcasting, BS11, Lawson, ABC Animation, Rialto Entertainment",Funimation,"A-1 Pictures, Trigger, CloverWorks",Original,"Action, Drama, Romance, Sci-Fi",Action,Mecha,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,61,https://myanimelist.net/anime/35849/Darling_in_the_FranXX
1936,1936,2687,Fate/kaleid liner Prisma☆Illya 2wei!,7.25,76097,TV,10,Finished Airing,"Jul 10, 2014 to Sep 11, 2014",2014,Summer 2014,Summer,Thursdays at 01:35 (JST),Thursdays,"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Tokyo MX, Kadokawa Media House",Sentai Filmworks,SILVER LINK.,Manga,"Action, Comedy, Fantasy",Action,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1269,https://myanimelist.net/anime/20509/Fate_kaleid_liner_Prisma☆Illya_2wei
1937,1937,2688,High School! Kimengumi,7.25,849,TV,86,Finished Airing,"Oct 20, 1985 to Oct 3, 1987",1985,Fall 1985,Fall,Unknown,Unknown,Tsuchida Productions,"None found, add some","Gallop, Studio Comet",Manga,"Comedy, Romance",Comedy,Unknown,Shounen,25 min. per ep.,25 ,PG-13 - Teens 13 or older,8340,https://myanimelist.net/anime/714/High_School_Kimengumi
1938,1938,2689,Idol Time PriPara,7.25,1312,TV,51,Finished Airing,"Apr 4, 2017 to Mar 27, 2018",2017,Spring 2017,Spring,Tuesdays at 17:55 (JST),Tuesdays,"TV Tokyo, Nihon Ad Systems, Avex Pictures, Takara Tomy A.R.T.S, Shogakukan","None found, add some","Tatsunoko Production, Dongwoo A&E",Game,,Unknown,Unknown,Shoujo,24 min. per ep.,24 ,PG - Children,6936,https://myanimelist.net/anime/34787/Idol_Time_PriPara
1939,1939,2690,Inferno Cop,7.25,52396,ONA,13,Finished Airing,"Dec 25, 2012 to Mar 19, 2013",2012,Unknown,Unknown,Unknown,Unknown,CoMix Wave Films,"None found, add some",Trigger,Original,"Action, Comedy",Action,Police,All,3 min. per ep.,3 ,R - 17+ (violence & profanity),1753,https://myanimelist.net/anime/16774/Inferno_Cop
1940,1940,2691,Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,7.25,5450,TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",2020,Fall 2020,Fall,Saturdays at 01:50 (JST),Saturdays,"Half H.P Studio, studioGONG","None found, add some",Team TillDawn,Manga,"Comedy, Slice of Life",Comedy,Unknown,All,1 min. per ep.,1 ,G - All Ages,5072,https://myanimelist.net/anime/40833/Inu_to_Neko_Docchi_mo_Katteru_to_Mainichi_Tanoshii
1941,1941,2692,Inukami!,7.25,26015,TV,26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006",2006,Spring 2006,Spring,Unknown,Unknown,"Starchild Records, Yomiuri Advertising, ASCII Media Works",Discotek Media,Seven Arcs,Light novel,"Comedy, Romance, Supernatural, Ecchi",Comedy,Unknown,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,2210,https://myanimelist.net/anime/940/Inukami
1942,1942,2693,Just Because!,7.25,104571,TV,12,Finished Airing,"Oct 5, 2017 to Dec 28, 2017",2017,Fall 2017,Fall,Thursdays at 21:00 (JST),Thursdays,"Sotsu, AT-X, BS Fuji, NBCUniversal Entertainment Japan, Tokyo MX, Moonbell, INCS toenter",Sentai Filmworks,Pine Jam,Original,"Drama, Romance, Slice of Life",Drama,School,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,718,https://myanimelist.net/anime/35639/Just_Because
1946,1946,2697,Abenobashi Mahou☆Shoutengai,7.24,30704,TV,13,Finished Airing,"Apr 4, 2002 to Jun 27, 2002",2002,Spring 2002,Spring,Thursdays at 22:00 (JST),Thursdays,"Dentsu, Starchild Records, Imagica, Rakuonsha, King Records",ADV Films,"Gainax, Madhouse",Original,"Comedy, Fantasy, Ecchi",Comedy,Parody,All,24 min. per ep.,24 ,R+ - Mild Nudity,1955,https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai
1949,1949,2700,Boku dake ga Inai Machi Recaps,7.24,11353,ONA,2,Finished Airing,"Feb 16, 2016 to Mar 18, 2016",2016,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some",A-1 Pictures,Manga,"Mystery, Supernatural",Mystery,Psychological,Seinen,19 min. per ep.,19 ,R - 17+ (violence & profanity),3374,https://myanimelist.net/anime/35815/Boku_dake_ga_Inai_Machi_Recaps
1950,1950,2701,Canaan,7.24,77835,TV,13,Finished Airing,"Jul 4, 2009 to Sep 26, 2009",2009,Summer 2009,Summer,Saturdays at 22:30 (JST),Saturdays,"Lantis, Pony Canyon, Magic Capsule, Bushiroad, Showgate, Good Smile Company",Sentai Filmworks,P.A. Works,Visual novel,"Action, Sci-Fi, Supernatural",Action,Super Power,Seinen,23 min. per ep.,23 ,R - 17+ (violence & profanity),912,https://myanimelist.net/anime/5356/Canaan
1952,1952,2703,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.24,473867,TV,13,Finished Airing,"Jul 5, 2013 to Sep 27, 2013",2013,Summer 2013,Summer,Fridays at 01:35 (JST),Fridays,"Geneon Universal Entertainment, Studio Hibari, Mainichi Broadcasting System, Showgate",Funimation,Lerche,Game,"Horror, Mystery",Horror,Unknown,All,24 min. per ep.,24 ,R - 17+ (violence & profanity),150,https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation
1953,1953,2704,Dantalian no Shoka,7.24,51199,TV,12,Finished Airing,"Jul 16, 2011 to Oct 1, 2011",2011,Summer 2011,Summer,Unknown,Unknown,"TV Tokyo, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, NTT Docomo, Dwango",Funimation,Gainax,Light novel,"Action, Mystery, Supernatural",Action,Historical,All,25 min. per ep.,25 ,R - 17+ (violence & profanity),1321,https://myanimelist.net/anime/8915/Dantalian_no_Shoka
1954,1954,2705,Delicious Party♡Precure,7.24,555,TV,5,Currently Airing,"Feb 6, 2022 to ?",2022,Winter 2022,Winter,Sundays at 08:30 (JST),Sundays,"ABC Animation, ADK Emotions","None found, add some",Toei Animation,Original,"Action, Fantasy",Action,Unknown,Shoujo,24 min.,24 ,G - All Ages,7565,https://myanimelist.net/anime/50281/Delicious_Party♡Precure
1958,1958,2709,H2,7.24,2816,TV,41,Finished Airing,"Jun 1, 1995 to Mar 21, 1996",1995,Summer 1995,Summer,Thursdays at 19:00 (JST),Thursdays,"Asahi Broadcasting, Toho Music","None found, add some",Production Reed,Manga,"Comedy, Romance, Sports",Comedy,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,5773,https://myanimelist.net/anime/386/H2
1959,1959,2710,Haiyore! Nyaruko-san W,7.24,83899,TV,12,Finished Airing,"Apr 8, 2013 to Jul 1, 2013",2013,Spring 2013,Spring,Sundays at 01:05 (JST),Sundays,"Avex Entertainment, Sotsu, DIVE II Entertainment","NIS America, Inc.",Xebec,Light novel,"Comedy, Sci-Fi",Comedy,Parody,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1127,https://myanimelist.net/anime/15699/Haiyore_Nyaruko-san_W
1962,1962,2713,Hitsugi no Chaika,7.24,156842,TV,12,Finished Airing,"Apr 10, 2014 to Jun 26, 2014",2014,Spring 2014,Spring,Thursdays at 01:05 (JST),Thursdays,"Kadokawa Shoten, flying DOG, Fujimi Shobo",Sentai Filmworks,Bones,Light novel,"Action, Adventure, Comedy, Fantasy, Romance",Action,Unknown,All,24 min. per ep.,24 ,R - 17+ (violence & profanity),514,https://myanimelist.net/anime/20853/Hitsugi_no_Chaika
1963,1963,2714,Hyakko,7.24,18186,TV,13,Finished Airing,"Oct 2, 2008 to Dec 25, 2008",2008,Fall 2008,Fall,Unknown,Unknown,Flex Comix,Nozomi Entertainment,Nippon Animation,Manga,"Comedy, Slice of Life",Comedy,School,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,2813,https://myanimelist.net/anime/4550/Hyakko
1965,1965,2716,Kiniro Mosaic,7.24,61809,TV,12,Finished Airing,"Jul 6, 2013 to Sep 21, 2013",2013,Summer 2013,Summer,Unknown,Unknown,"Media Factory, Showgate",Sentai Filmworks,Studio Gokumi,4-koma manga,"Comedy, Slice of Life",Comedy,School,Seinen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1086,https://myanimelist.net/anime/16732/Kiniro_Mosaic
1966,1966,2717,Kinnikuman,7.24,2739,TV,137,Finished Airing,"Apr 3, 1983 to Oct 1, 1986",1983,Spring 1983,Spring,Unknown,Unknown,Nippon Television Network,"None found, add some",Toei Animation,Manga,"Adventure, Comedy, Sports",Adventure,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,5417,https://myanimelist.net/anime/3272/Kinnikuman
