,Unnamed: 0,rank,title,score,scored_by_users,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,theme,demographic,duration,rating,popularity,url
5196,5196,5597,Shouxi Yu Ling Shi,6.61,218,ONA,40,Finished Airing,"Jun 20, 2020 to Oct 24, 2020",,,"None found, add some","None found, add some",Soyep,Original,"Action, Fantasy",,,11 min. per ep.,PG-13 - Teens 13 or older,11733,https://myanimelist.net/anime/42268/Shouxi_Yu_Ling_Shi
5197,5197,5598,Soukou Kihei Votoms: Pailsen Files Movie,6.61,515,Movie,1,Finished Airing,"Jan 17, 2009",,,Sunrise,"None found, add some",The Answer Studio,Original,,,,1 hr. 58 min.,R - 17+ (violence & profanity),10261,https://myanimelist.net/anime/7536/Soukou_Kihei_Votoms__Pailsen_Files_Movie
5198,5198,5599,Stella-Rium,6.61,496,Music,1,Finished Airing,"May 19, 2015",,,"None found, add some","None found, add some","None found, add some",Original,,Music,,4 min.,G - All Ages,11370,https://myanimelist.net/anime/35585/Stella-Rium
5199,5199,5600,Tide-Line Blue: Kyoudai,6.61,823,Special,1,Finished Airing,"Apr 26, 2006",,,"Bandai Visual, TV Asahi, Lantis",Bandai Entertainment,Telecom Animation Film,Original,"Adventure, Drama",,Shounen,23 min.,PG-13 - Teens 13 or older,9929,https://myanimelist.net/anime/1001/Tide-Line_Blue__Kyoudai
5200,5200,5601,Toji no Miko: Kizamishi Issen no Tomoshibi OVA,6.61,1422,OVA,2,Finished Airing,"Oct 25, 2020 to Nov 29, 2020",,,Genco,"None found, add some",Project No.9,Game,"Action, Fantasy",,,30 min. per ep.,PG-13 - Teens 13 or older,7300,https://myanimelist.net/anime/40901/Toji_no_Miko__Kizamishi_Issen_no_Tomoshibi_OVA
5201,5201,5602,Tokyo One Piece Tower: Tongari Shima no Dai Hihou,6.61,1173,Movie,1,Finished Airing,"Nov 1, 2016",,,"None found, add some","None found, add some","None found, add some",Manga,"Action, Adventure",Super Power,Shounen,10 min.,G - All Ages,6780,https://myanimelist.net/anime/38419/Tokyo_One_Piece_Tower__Tongari_Shima_no_Dai_Hihou
5202,5202,5603,Tokyo Underground,6.61,10336,TV,26,Finished Airing,"Apr 2, 2002 to Sep 24, 2002",Spring 2002,Tuesdays at 18:30 (JST),TV Tokyo Music,"Discotek Media, Geneon Entertainment USA",Studio Pierrot,Manga,"Action, Adventure, Romance, Sci-Fi",Super Power,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,3578,https://myanimelist.net/anime/175/Tokyo_Underground
5203,5203,5604,Umi Monogatari: Anata ga Ite Kureta Koto,6.61,6055,TV,12,Finished Airing,"Jun 25, 2009 to Sep 17, 2009",Summer 2009,Unknown,"None found, add some",Nozomi Entertainment,Zexcs,Game,"Drama, Fantasy, Romance, Supernatural",,,24 min. per ep.,PG-13 - Teens 13 or older,3645,https://myanimelist.net/anime/6129/Umi_Monogatari__Anata_ga_Ite_Kureta_Koto
5204,5204,5605,Usavich IV,6.61,1500,TV,13,Finished Airing,"Apr 23, 2011 to Sep 15, 2011",Spring 2011,Unknown,"None found, add some","None found, add some",Kanaban Graphics,Original,,,,1 min. per ep.,PG-13 - Teens 13 or older,8898,https://myanimelist.net/anime/10513/Usavich_IV
5205,5205,5606,Youjo Shachou,6.61,1368,ONA,13,Finished Airing,"Jan 1, 2021",,,"Magic Capsule, FABTONE",Sentai Filmworks,Project No.9,Manga,,,,3 min. per ep.,PG-13 - Teens 13 or older,8811,https://myanimelist.net/anime/43001/Youjo_Shachou
5206,5206,5607,Aachi wa Ssipak,6.61,4352,Movie,1,Finished Airing,"Jun 28, 2006",,,"None found, add some",Flatiron Film Company,"None found, add some",Original,"Action, Comedy",,,1 hr. 28 min.,R+ - Mild Nudity,5604,https://myanimelist.net/anime/2884/Aachi_wa_Ssipak
5207,5207,5608,Akuma no Riddle,6.61,115306,TV,12,Finished Airing,"Apr 4, 2014 to Jun 20, 2014",Spring 2014,Unknown,"Mainichi Broadcasting System, Pony Canyon, DAX Production",Funimation,Diomedéa,Manga,"Action, Girls Love",School,,23 min. per ep.,R - 17+ (violence & profanity),769,https://myanimelist.net/anime/19429/Akuma_no_Riddle
5208,5208,5609,Aldnoah.Zero Extra Archives,6.61,4398,Special,1,Finished Airing,"Jan 4, 2015",,,Aniplex,"None found, add some","A-1 Pictures, TROYCA",Original,"Action, Sci-Fi",Mecha,,48 min.,R - 17+ (violence & profanity),4760,https://myanimelist.net/anime/29223/AldnoahZero_Extra_Archives
5209,5209,5610,Android Girl feat. Hatsune Miku,6.61,541,Music,1,Finished Airing,"May 3, 2019",,,"None found, add some","None found, add some","None found, add some",Music,,Music,,3 min.,G - All Ages,11592,https://myanimelist.net/anime/39975/Android_Girl_feat_Hatsune_Miku
5210,5210,5611,Asobi ni Iku yo!,6.61,81964,TV,12,Finished Airing,"Jul 11, 2010 to Sep 26, 2010",Summer 2010,Sundays at 01:58 (JST),"AIC, Lantis, Media Factory, Pony Canyon, Rakuonsha, AT-X, KlockWorx, Ryukyu Asahi Broadcasting",Funimation,AIC PLUS+,Light novel,"Comedy, Romance, Sci-Fi, Ecchi",Harem,,24 min. per ep.,R+ - Mild Nudity,1020,https://myanimelist.net/anime/6166/Asobi_ni_Iku_yo
5211,5211,5612,Attacker You!,6.61,2589,TV,58,Finished Airing,"Apr 13, 1984 to Jun 21, 1985",Spring 1984,Unknown,"TV Tokyo, Shaft, Kino Production","None found, add some",Knack Productions,Manga,"Action, Romance, Sports",,Shoujo,23 min. per ep.,R+ - Mild Nudity,6594,https://myanimelist.net/anime/3081/Attacker_You
5212,5212,5613,B-Project: Kodou*Ambitious,6.61,14229,TV,12,Finished Airing,"Jul 3, 2016 to Sep 25, 2016",Summer 2016,Sundays at 00:30 (JST),"Aniplex, Movic, MAGES., Tokyo MX, Hakuhodo DY Music & Pictures, BS11, Lawson, ABC Animation, Christmas Holly, C-one","None found, add some",A-1 Pictures,Mixed media,,Music,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,2810,https://myanimelist.net/anime/33046/B-Project__KodouAmbitious
5213,5213,5614,Battle Spirits: Sword Eyes Gekitouden,6.61,455,TV,21,Finished Airing,"Apr 7, 2013 to Sep 8, 2013",Spring 2013,Unknown,"None found, add some","None found, add some",Sunrise,Card game,"Adventure, Fantasy",Game,,25 min. per ep.,PG - Children,10180,https://myanimelist.net/anime/19877/Battle_Spirits__Sword_Eyes_Gekitouden
5214,5214,5615,Cardfight!! Vanguard G: Next,6.61,3537,TV,52,Finished Airing,"Oct 2, 2016 to Oct 1, 2017",Fall 2016,Sundays at 10:00 (JST),Sotsu,"None found, add some",OLM,Card game,,Game,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,5703,https://myanimelist.net/anime/34077/Cardfight_Vanguard_G__Next
5215,5215,5616,C³,6.61,74586,TV,12,Finished Airing,"Oct 1, 2011 to Dec 17, 2011",Fall 2011,Unknown,Starchild Records,Funimation,SILVER LINK.,Light novel,"Action, Comedy, Supernatural, Ecchi",School,,24 min. per ep.,R - 17+ (violence & profanity),1116,https://myanimelist.net/anime/10578/C³
5216,5216,5617,Da Nao Tiangong,6.61,347,Movie,1,Finished Airing,1964,,,"None found, add some","None found, add some",Shanghai Animation Film Studio,Novel,,,,1 hr. 54 min.,G - All Ages,11593,https://myanimelist.net/anime/6855/Da_Nao_Tiangong
5217,5217,5618,Da Zhu Zai,6.61,1035,ONA,12,Finished Airing,"Aug 7, 2019 to Oct 17, 2019",,,"None found, add some","None found, add some","None found, add some",Novel,"Action, Adventure, Fantasy, Romance",,,24 min. per ep.,PG-13 - Teens 13 or older,7265,https://myanimelist.net/anime/40233/Da_Zhu_Zai
5218,5218,5619,Dagashi Kashi,6.61,166752,TV,12,Finished Airing,"Jan 8, 2016 to Apr 1, 2016",Winter 2016,Fridays at 02:16 (JST),"Pony Canyon, TBS, DAX Production, BS-TBS, Shogakukan, Lawson, RAY, U-NEXT, Nichion",Funimation,feel.,Manga,"Comedy, Gourmet, Slice of Life",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,441,https://myanimelist.net/anime/31636/Dagashi_Kashi
5219,5219,5620,Dirty Pair Flash 2,6.61,1316,OVA,5,Finished Airing,"Jun 1, 1995 to Oct 1, 1995",,,VAP,"ADV Films, Nozomi Entertainment",Sunrise,Light novel,"Action, Adventure, Comedy, Sci-Fi",Police,,27 min. per ep.,PG-13 - Teens 13 or older,8193,https://myanimelist.net/anime/12343/Dirty_Pair_Flash_2
5220,5220,5621,Dokidoki! Precure,6.61,9145,TV,49,Finished Airing,"Feb 3, 2013 to Jan 26, 2014",Winter 2013,Unknown,Asahi Broadcasting,Saban Entertainment,Toei Animation,Original,"Action, Fantasy",,Shoujo,24 min. per ep.,G - All Ages,3970,https://myanimelist.net/anime/16419/Dokidoki_Precure
5221,5221,5622,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,6.61,61793,Movie,1,Finished Airing,"Mar 10, 1990",,,"None found, add some",Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy, Sci-Fi",,Shounen,1 hr.,PG-13 - Teens 13 or older,1689,https://myanimelist.net/anime/895/Dragon_Ball_Z_Movie_02__Kono_Yo_de_Ichiban_Tsuyoi_Yatsu
5222,5222,5623,Fumetsu no Anata e: Fushi no Tabiji,6.61,2081,Special,1,Finished Airing,"Jul 5, 2021",,,"NHK, NHK Enterprises","None found, add some",Brain's Base,Manga,"Adventure, Drama, Supernatural",,Shounen,25 min.,R - 17+ (violence & profanity),4850,https://myanimelist.net/anime/49287/Fumetsu_no_Anata_e__Fushi_no_Tabiji
5223,5223,5624,Granblue Fantasy The Animation: Kabocha no Lantern,6.61,5674,Special,1,Finished Airing,"Nov 29, 2017",,,"Aniplex, Tohokushinsha Film Corporation, Cygames",Aniplex of America,A-1 Pictures,Game,,,,23 min.,PG-13 - Teens 13 or older,4534,https://myanimelist.net/anime/35814/Granblue_Fantasy_The_Animation__Kabocha_no_Lantern
5224,5224,5625,Green Legend Ran,6.61,1950,OVA,3,Finished Airing,"Nov 25, 1992 to Mar 25, 1993",,,Pioneer LDC,"Sentai Filmworks, Geneon Entertainment USA",AIC,Original,"Adventure, Drama, Sci-Fi",,,45 min. per ep.,R - 17+ (violence & profanity),6842,https://myanimelist.net/anime/1169/Green_Legend_Ran
5225,5225,5626,Hakugei Densetsu,6.61,808,TV,26,Finished Airing,"Apr 9, 1997 to May 12, 1999",Spring 1997,Wednesdays at 18:30 (JST),"Tezuka Productions, Sony Music Entertainment, Image Kei",ADV Films,"Studio Junio, Annapuru",Original,"Adventure, Sci-Fi",Space,,23 min. per ep.,PG-13 - Teens 13 or older,7988,https://myanimelist.net/anime/1466/Hakugei_Densetsu
5226,5226,5627,Happy☆Lesson,6.61,4279,OVA,5,Finished Airing,"Jul 19, 2001 to May 23, 2003",,,KSS,"None found, add some","Studio Hibari, Studio Kyuuma, Venet, Chaos Project",Unknown,"Comedy, Romance",,,30 min. per ep.,PG-13 - Teens 13 or older,5254,https://myanimelist.net/anime/259/Happy☆Lesson
5227,5227,5628,Kaiketsu Jouki Tanteidan,6.61,873,TV,26,Finished Airing,"Oct 7, 1998 to Mar 31, 1999",Fall 1998,Wednesdays at 18:00 (JST),Studio Tron,ADV Films,Xebec,Manga,"Action, Mystery",,,24 min. per ep.,PG-13 - Teens 13 or older,7750,https://myanimelist.net/anime/2704/Kaiketsu_Jouki_Tanteidan
5228,5228,5629,Kamui no Ken,6.61,1944,Movie,1,Finished Airing,"Mar 9, 1985",,,Kadokawa Shoten,AnimEigo,Madhouse,Novel,"Adventure, Drama, Fantasy",Historical,Shounen,2 hr. 12 min.,PG-13 - Teens 13 or older,6693,https://myanimelist.net/anime/496/Kamui_no_Ken
5229,5229,5630,Kemushi no Boro,6.61,371,Movie,1,Finished Airing,"Mar 21, 2018",,,"None found, add some","None found, add some",Studio Ghibli,Original,,,Kids,14 min.,G - All Ages,8728,https://myanimelist.net/anime/32133/Kemushi_no_Boro
5230,5230,5631,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",6.61,88484,TV,12,Finished Airing,"Oct 7, 2020 to Dec 23, 2020",Fall 2020,Wednesdays at 23:30 (JST),"Pony Canyon, Bit grooove promotion, A3",Funimation,SILVER LINK.,Light novel,"Action, Fantasy, Romance",Military,,23 min. per ep.,PG-13 - Teens 13 or older,906,https://myanimelist.net/anime/40595/Kimi_to_Boku_no_Saigo_no_Senjou_Aruiwa_Sekai_ga_Hajimaru_Seisen
5231,5231,5632,Lupin III: Green vs. Red,6.61,3529,OVA,1,Finished Airing,"Apr 2, 2008",,,"VAP, Tohokushinsha Film Corporation, Studio Jack",Discotek Media,TMS Entertainment,Unknown,"Action, Adventure, Comedy, Mystery",,Seinen,1 hr. 19 min.,PG-13 - Teens 13 or older,6087,https://myanimelist.net/anime/4320/Lupin_III__Green_vs_Red
5232,5232,5633,Maken-Ki! OVA,6.61,25683,OVA,2,Finished Airing,"Mar 1, 2012 to Sep 25, 2013",,,AIC,Funimation,"Xebec, AIC Spirits",Manga,"Action, Ecchi",,,24 min. per ep.,R+ - Mild Nudity,2487,https://myanimelist.net/anime/11209/Maken-Ki_OVA
5233,5233,5634,Manga Sarutobi Sasuke,6.61,519,TV,24,Finished Airing,"Oct 9, 1979 to Apr 15, 1980",Fall 1979,Unknown,Knack Productions,"None found, add some","None found, add some",Unknown,"Adventure, Comedy, Supernatural",Historical,,20 min. per ep.,PG - Children,10598,https://myanimelist.net/anime/5091/Manga_Sarutobi_Sasuke
5234,5234,5635,.hack//Liminality,6.6,15593,OVA,4,Finished Airing,"Jun 20, 2002 to Apr 10, 2003",,,"Bandai Visual, Bandai, CyberConnect2",Bandai Entertainment,Bee Train,Original,"Mystery, Sci-Fi",Game,,33 min. per ep.,PG-13 - Teens 13 or older,3307,https://myanimelist.net/anime/299/hack__Liminality
5235,5235,5636,12-sai.: Chicchana Mune no Tokimeki 2nd Season,6.6,6838,TV,12,Finished Airing,"Oct 3, 2016 to Dec 19, 2016",Fall 2016,Mondays at 19:30 (JST),"Shogakukan-Shueisha Productions, AT-X, Nippon Columbia, Warner Bros. Japan, Shogakukan, JR East Marketing & Communications, Sun TV","None found, add some",OLM,Manga,,School,Shoujo,24 min. per ep.,PG - Children,4572,https://myanimelist.net/anime/33419/12-sai__Chicchana_Mune_no_Tokimeki_2nd_Season
